mean_K	mean_H	FST	FST_2_1	
0	0	0.00908982	0.00908982	
0	0	0.041534	0.041534	
0	0	0.00435834	0.00435834	
0	0	0.042092	0.042092	
0	0	8.22767e-05	8.22767e-05	
0	0	-0.0155958	-0.0155958	
0	0	0.0673972	0.0673972	
0	0	0.106377	0.106377	
0	0	0.00141552	0.00141552	
0	0	0.0428825	0.0428825	
0	0	0.0346789	0.0346789	
0	0	0.0144193	0.0144193	
0	0	0.0707385	0.0707385	
0	0	-0.0329028	-0.0329028	
0	0	0.0296511	0.0296511	
0	0	0.00611437	0.00611437	
0	0	0.0678057	0.0678057	
0	0	0.0704617	0.0704617	
0	0	0.0776914	0.0776914	
0	0	-0.0200553	-0.0200553	
0	0	0.00194154	0.00194154	
0	0	0.0290516	0.0290516	
0	0	0.0179624	0.0179624	
0	0	-0.0145661	-0.0145661	
0	0	-0.0380494	-0.0380494	
0	0	0.0476357	0.0476357	
0	0	-0.0224474	-0.0224474	
0	0	0.0591824	0.0591824	
0	0	0.0463757	0.0463757	
0	0	-0.0323213	-0.0323213	
0	0	-0.0271253	-0.0271253	
0	0	-0.0235162	-0.0235162	
0	0	0.0734684	0.0734684	
0	0	-0.0289151	-0.0289151	
0	0	0.0014303	0.0014303	
0	0	-0.0347722	-0.0347722	
0	0	0.0883799	0.0883799	
0	0	-0.0113551	-0.0113551	
0	0	0.0245892	0.0245892	
0	0	0.0260344	0.0260344	
0	0	0.0250097	0.0250097	
0	0	0.0371775	0.0371775	
0	0	-0.0101792	-0.0101792	
0	0	0.107376	0.107376	
0	0	-0.0284713	-0.0284713	
0	0	0.050986	0.050986	
0	0	-0.0107312	-0.0107312	
0	0	0.0530056	0.0530056	
0	0	0.0385257	0.0385257	
0	0	0.0338034	0.0338034	
0	0	0.0252037	0.0252037	
0	0	0.0752453	0.0752453	
0	0	0.0186761	0.0186761	
0	0	0.0633127	0.0633127	
0	0	-0.0128127	-0.0128127	
0	0	0.0642692	0.0642692	
0	0	0.0478757	0.0478757	
0	0	-0.000671206	-0.000671206	
0	0	0.272989	0.272989	
0	0	0.110121	0.110121	
0	0	-0.0139916	-0.0139916	
0	0	-0.00144739	-0.00144739	
0	0	-0.0308635	-0.0308635	
0	0	0.0438155	0.0438155	
0	0	0.0410832	0.0410832	
0	0	0.0545455	0.0545455	
0	0	-0.00944209	-0.00944209	
0	0	-0.00284385	-0.00284385	
0	0	0.0999606	0.0999606	
0	0	0.145617	0.145617	
0	0	-0.0189239	-0.0189239	
0	0	0.102105	0.102105	
0	0	-0.00144046	-0.00144046	
0	0	0.00563357	0.00563357	
0	0	0.0312154	0.0312154	
0	0	0.103625	0.103625	
0	0	-0.0456105	-0.0456105	
0	0	-0.0021917	-0.0021917	
0	0	0.0507284	0.0507284	
0	0	0.102417	0.102417	
0	0	0.0550281	0.0550281	
0	0	0.0448649	0.0448649	
0	0	0.0366528	0.0366528	
0	0	0.046245	0.046245	
0	0	0.0920181	0.0920181	
0	0	0.0273077	0.0273077	
0	0	0.0608507	0.0608507	
0	0	0.019339	0.019339	
0	0	-0.0256337	-0.0256337	
0	0	-0.00161363	-0.00161363	
0	0	0.0656495	0.0656495	
0	0	0.105966	0.105966	
0	0	0.0168314	0.0168314	
0	0	0.0534576	0.0534576	
0	0	0.114945	0.114945	
0	0	-0.0030179	-0.0030179	
0	0	-0.0251962	-0.0251962	
0	0	-0.00143026	-0.00143026	
0	0	0.0846349	0.0846349	
0	0	0.0274016	0.0274016	
0	0	0.00988254	0.00988254	
0	0	0.224497	0.224497	
0	0	0.143887	0.143887	
0	0	0.0404307	0.0404307	
0	0	0.119312	0.119312	
0	0	-0.0297386	-0.0297386	
0	0	0.0461532	0.0461532	
0	0	-0.0208179	-0.0208179	
0	0	-0.0265428	-0.0265428	
0	0	0.0132702	0.0132702	
0	0	-0.0302212	-0.0302212	
0	0	0.0110871	0.0110871	
0	0	0.0202716	0.0202716	
0	0	0.12263	0.12263	
0	0	-0.0170494	-0.0170494	
0	0	0.00035602	0.00035602	
0	0	0.0271953	0.0271953	
0	0	0.0628298	0.0628298	
0	0	0.10689	0.10689	
0	0	0.00218288	0.00218288	
0	0	0.0133993	0.0133993	
0	0	0.0117256	0.0117256	
0	0	-0.0195515	-0.0195515	
0	0	0.0318763	0.0318763	
0	0	-0.0258208	-0.0258208	
0	0	0.0825837	0.0825837	
0	0	0.00451935	0.00451935	
0	0	-0.0274112	-0.0274112	
0	0	-0.0349323	-0.0349323	
0	0	0.0576997	0.0576997	
0	0	-0.0409337	-0.0409337	
0	0	-0.00831464	-0.00831464	
0	0	0.0327973	0.0327973	
0	0	0.0499008	0.0499008	
0	0	0.104596	0.104596	
0	0	-0.0325664	-0.0325664	
0	0	0.0244529	0.0244529	
0	0	0.0549863	0.0549863	
0	0	0.0611287	0.0611287	
0	0	0.415679	0.415679	
0	0	0.206427	0.206427	
0	0	0.0157573	0.0157573	
0	0	0.0204178	0.0204178	
0	0	0.00562933	0.00562933	
0	0	0.184135	0.184135	
0	0	0.0119678	0.0119678	
0	0	-0.00161622	-0.00161622	
0	0	-0.0145508	-0.0145508	
0	0	0.0259919	0.0259919	
0	0	0.0671431	0.0671431	
0	0	0.0260008	0.0260008	
0	0	0.0502592	0.0502592	
0	0	0.0403228	0.0403228	
0	0	-0.0135737	-0.0135737	
0	0	-0.00565945	-0.00565945	
0	0	0.0289923	0.0289923	
0	0	0.0207275	0.0207275	
0	0	-0.0247504	-0.0247504	
0	0	0.054106	0.054106	
0	0	0.00142751	0.00142751	
0	0	-0.0131367	-0.0131367	
0	0	-0.0146694	-0.0146694	
0	0	-0.00393948	-0.00393948	
0	0	0.00954465	0.00954465	
0	0	0.0546891	0.0546891	
0	0	0.0433569	0.0433569	
0	0	-0.0333032	-0.0333032	
0	0	-0.00103286	-0.00103286	
0	0	-0.0168698	-0.0168698	
0	0	0.0627924	0.0627924	
0	0	-0.0203487	-0.0203487	
0	0	0.00790724	0.00790724	
0	0	-0.000603253	-0.000603253	
0	0	0.149691	0.149691	
0	0	0.0412355	0.0412355	
0	0	0.030863	0.030863	
0	0	-0.0329021	-0.0329021	
0	0	0.135356	0.135356	
0	0	0.0436437	0.0436437	
0	0	0.1269	0.1269	
0	0	-0.00752936	-0.00752936	
0	0	-0.00194683	-0.00194683	
0	0	0.099554	0.099554	
0	0	-0.00402382	-0.00402382	
0	0	0.0281436	0.0281436	
0	0	0.132922	0.132922	
0	0	0.204789	0.204789	
0	0	0.0504216	0.0504216	
0	0	0.00332577	0.00332577	
0	0	-0.0388464	-0.0388464	
0	0	-0.0177566	-0.0177566	
0	0	0.069136	0.069136	
0	0	0.144982	0.144982	
0	0	0.0324599	0.0324599	
0	0	-0.016634	-0.016634	
0	0	0.0795669	0.0795669	
0	0	0.143797	0.143797	
0	0	0.11962	0.11962	
0	0	0.115798	0.115798	
0	0	-0.0254756	-0.0254756	
0	0	0.0451	0.0451	
0	0	-0.0335413	-0.0335413	
0	0	-0.0204876	-0.0204876	
0	0	-0.0164862	-0.0164862	
0	0	-0.0226768	-0.0226768	
0	0	-0.00346497	-0.00346497	
0	0	0.0479686	0.0479686	
0	0	0.0319642	0.0319642	
0	0	0.0918833	0.0918833	
0	0	0.117445	0.117445	
0	0	0.0247701	0.0247701	
0	0	0.0941739	0.0941739	
0	0	-0.0116819	-0.0116819	
0	0	0.0439373	0.0439373	
0	0	0.234658	0.234658	
0	0	0.0389016	0.0389016	
0	0	-0.0203264	-0.0203264	
0	0	-0.00239008	-0.00239008	
0	0	0.0150247	0.0150247	
0	0	-0.0214561	-0.0214561	
0	0	0.0029678	0.0029678	
0	0	0.0227957	0.0227957	
0	0	-0.0322817	-0.0322817	
0	0	0.0201113	0.0201113	
0	0	-0.000586135	-0.000586135	
0	0	0.303168	0.303168	
0	0	0.0216781	0.0216781	
0	0	0.0322727	0.0322727	
0	0	0.100817	0.100817	
0	0	-0.028531	-0.028531	
0	0	-0.0187139	-0.0187139	
0	0	-0.00377839	-0.00377839	
0	0	0.0323661	0.0323661	
0	0	-0.0115571	-0.0115571	
0	0	-0.0103231	-0.0103231	
0	0	-0.0356759	-0.0356759	
0	0	0.0117171	0.0117171	
0	0	0.109045	0.109045	
0	0	0.142812	0.142812	
0	0	0.0827344	0.0827344	
0	0	-0.0400192	-0.0400192	
0	0	0.0235729	0.0235729	
0	0	-0.00451809	-0.00451809	
0	0	0.014735	0.014735	
0	0	-0.00773386	-0.00773386	
0	0	0.0726357	0.0726357	
0	0	0.108039	0.108039	
0	0	0.0463568	0.0463568	
0	0	0.0184132	0.0184132	
0	0	-0.0173412	-0.0173412	
0	0	0.0409834	0.0409834	
0	0	0.0441113	0.0441113	
0	0	0.0321533	0.0321533	
0	0	0.136355	0.136355	
0	0	0.000760284	0.000760284	
0	0	0.0237651	0.0237651	
0	0	0.014991	0.014991	
0	0	0.00465084	0.00465084	
0	0	0.0564234	0.0564234	
0	0	0.0608819	0.0608819	
0	0	-0.0289404	-0.0289404	
0	0	-0.00176879	-0.00176879	
0	0	0.0266863	0.0266863	
0	0	-0.0118375	-0.0118375	
0	0	0.0150976	0.0150976	
0	0	0.0263574	0.0263574	
